Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","100n","C_0402_1005Metric",125.1201,-91.3824,-90.0000,top
"C102","100n","C_0402_1005Metric",139.8701,-82.3824,-90.0000,top
"D101","LED","LED_0603_1608Metric",154.9111,-75.3824,180.0000,top
"D102","LED","LED_0603_1608Metric",154.9111,-77.1324,180.0000,top
"D103","LED","LED_0603_1608Metric",154.9111,-78.8824,180.0000,top
"D104","LED","LED_0603_1608Metric",154.9111,-80.6324,180.0000,top
"D105","LED","LED_0603_1608Metric",154.9111,-82.3824,180.0000,top
"D106","LED","LED_0603_1608Metric",154.9111,-84.1324,180.0000,top
"D107","LED","LED_0603_1608Metric",154.9111,-85.8824,180.0000,top
"D108","LED","LED_0603_1608Metric",154.9111,-87.6324,180.0000,top
"D109","LED","LED_0603_1608Metric",154.9111,-89.3824,180.0000,top
"D110","LED","LED_0603_1608Metric",154.9111,-91.1324,180.0000,top
"D111","LED","LED_0603_1608Metric",154.9111,-92.8824,180.0000,top
"D112","LED","LED_0603_1608Metric",154.9111,-94.6324,180.0000,top
"D113","LED","LED_0603_1608Metric",154.9111,-96.3824,180.0000,top
"D114","MRA4004T3G","D_SMA",127.6201,-61.3824,180.0000,top
"D115","1N5819WS","D_SOD-323",151.3701,-76.3824,90.0000,top
"D201","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",124.3701,-124.6324,90.0000,top
"FB201","FerriteBead_Small","L_0402_1005Metric",163.6201,-59.6324,180.0000,top
"J201","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",166.1351,-54.6574,90.0000,top
"R101","1k","R_0402_1005Metric",157.9111,-75.3824,0.0000,top
"R102","1k","R_0402_1005Metric",157.9111,-77.1324,0.0000,top
"R103","1k","R_0402_1005Metric",157.9111,-78.8824,0.0000,top
"R104","1k","R_0402_1005Metric",157.9111,-80.6324,0.0000,top
"R105","1k","R_0402_1005Metric",157.9011,-82.3824,0.0000,top
"R106","1k","R_0402_1005Metric",157.9111,-84.1324,0.0000,top
"R107","1k","R_0402_1005Metric",157.9111,-85.8824,0.0000,top
"R108","1k","R_0402_1005Metric",157.9111,-87.6324,0.0000,top
"R109","1k","R_0402_1005Metric",157.9111,-89.3824,0.0000,top
"R110","1k","R_0402_1005Metric",157.9111,-91.1324,0.0000,top
"R111","1k","R_0402_1005Metric",157.9111,-92.8824,0.0000,top
"R112","1k","R_0402_1005Metric",157.9111,-94.6324,0.0000,top
"R113","1k","R_0402_1005Metric",157.9111,-96.3824,0.0000,top
"R114","1k","R_0402_1005Metric",133.3601,-86.7824,180.0000,top
"R115","1k","R_0402_1005Metric",133.3601,-88.0324,180.0000,top
"R116","1k","R_0402_1005Metric",133.3701,-89.2824,180.0000,top
"R117","1k","R_0402_1005Metric",122.3701,-90.3824,90.0000,top
"R118","15","R_0805_2012Metric",151.3701,-80.1324,-90.0000,top
"U101","SP3485EN","SOIC-8_3.9x4.9mm_P1.27mm",153.8701,-105.6324,-90.0000,top
"U103","AT24C512C-SSHD-T","SOIC-8_3.9x4.9mm_P1.27mm",128.3701,-87.3824,180.0000,top
"U104","ATECC608A-MAHDA","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm",139.1201,-92.3324,180.0000,top
"U105","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm",145.0951,-87.7874,180.0000,top
"U201","USBLC6-2SC6","SOT-23-6",159.6701,-55.0824,0.0000,top
"U202","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1U",136.7000,-117.4600,180.0000,top
