"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C101","100n","C_0402_1005Metric",125.120100,-91.382400,270.000000,top
"D101","LED","LED_0603_1608Metric",152.370100,-75.382400,180.000000,top
"D102","LED","LED_0603_1608Metric",152.332600,-78.882400,180.000000,top
"D103","LED","LED_0603_1608Metric",152.370100,-82.132400,180.000000,top
"D104","LED","LED_0603_1608Metric",152.370100,-85.632400,180.000000,top
"D105","LED","LED_0603_1608Metric",152.370100,-89.132400,180.000000,top
"D106","LED","LED_0603_1608Metric",152.370100,-92.632400,180.000000,top
"D107","LED","LED_0603_1608Metric",152.370100,-96.132400,180.000000,top
"D108","LED","LED_0603_1608Metric",152.370100,-77.132400,180.000000,top
"D109","LED","LED_0603_1608Metric",152.370100,-80.632400,180.000000,top
"D110","LED","LED_0603_1608Metric",152.370100,-83.882400,180.000000,top
"D111","LED","LED_0603_1608Metric",152.370100,-87.382400,180.000000,top
"D112","LED","LED_0603_1608Metric",152.370100,-90.882400,180.000000,top
"D113","LED","LED_0603_1608Metric",152.370100,-94.382400,180.000000,top
"R101","1k","R_0402_1005Metric",133.370100,-86.632400,180.000000,top
"R102","1k","R_0402_1005Metric",133.370100,-87.882400,180.000000,top
"R103","1k","R_0402_1005Metric",133.370100,-89.132400,180.000000,top
"R104","1k","R_0402_1005Metric",122.370100,-90.382400,90.000000,top
"R105","1k","R_0402_1005Metric",155.370100,-75.382400,0.000000,top
"R106","1k","R_0402_1005Metric",155.370100,-78.882400,0.000000,top
"R107","1k","R_0402_1005Metric",155.370100,-82.132400,0.000000,top
"R108","1k","R_0402_1005Metric",155.370100,-85.632400,0.000000,top
"R109","1k","R_0402_1005Metric",155.370100,-89.132400,0.000000,top
"R110","1k","R_0402_1005Metric",155.370100,-92.632400,0.000000,top
"R111","1k","R_0402_1005Metric",155.370100,-96.132400,0.000000,top
"R112","1k","R_0402_1005Metric",155.370100,-77.132400,0.000000,top
"R113","1k","R_0402_1005Metric",155.370100,-80.632400,0.000000,top
"R114","1k","R_0402_1005Metric",155.370100,-83.882400,0.000000,top
"R115","1k","R_0402_1005Metric",155.370100,-87.382400,0.000000,top
"R116","1k","R_0402_1005Metric",155.370100,-90.882400,0.000000,top
"R117","1k","R_0402_1005Metric",155.370100,-94.382400,0.000000,top
"U101","ESP32-WROOM-32U","ESP32-WROOM-32U",136.370100,-112.382400,180.000000,top
"U102","SP3485EN","SOIC-8_3.9x4.9mm_P1.27mm",153.870100,-105.632400,270.000000,top
"U103","AT24C512C-SSHD-T","SOIC-8_3.9x4.9mm_P1.27mm",128.370100,-87.382400,180.000000,top
